DOMINGO TAMARINDO MEDIA VALETA ESCOTE ULTRAINVISIBLE TALON ALTO NEGRO 	Para no afiliados: $3.37	 Para Afiliado: $3.03	Ahorro: $0.34
LAPIZ DELINEADOR 24H EYE COLOR-STAIN PENCIL BLACK ASTRA	Para no afiliados: $13.50	 Para Afiliado: $13.23	Ahorro: $0.27
LABIAL HYPNOTIZE LIQUID LIPSTICK DREAMER N°02	Para no afiliados: $15.50	 Para Afiliado: $15.19	Ahorro: $0.31
LAPIZ DELINEADOR LABIAL PROFESSIONA LIP PENCIL PINK LIPS N°33	Para no afiliados: $7.99	 Para Afiliado: $7.83	Ahorro: $0.16
CORRECTOR ASTRA LONG STAY CONCEALER IVORY N°01	Para no afiliados: $14.99	 Para Afiliado: $14.69	Ahorro: $0.3
LAPIZ DELINEADOR PROFESSIONAL EYE PENCIL WOOD ASTRA	Para no afiliados: $7.99	 Para Afiliado: $7.83	Ahorro: $0.16
CUARTETO SOMBRAS COLOR MUSE MODERN MASTERPIECE N°03	Para no afiliados: $18.99	 Para Afiliado: $18.61	Ahorro: $0.38
MASCARA DE PESTAÑAS SEXY VOLUME WATERPROOF  DEEP BLACK	Para no afiliados: $18.99	 Para Afiliado: $18.61	Ahorro: $0.38
ESMALTE UÑAS ICONAILS CATRICE GEL LACQUER 10,5ML 61	Para no afiliados: $2.69	 Para Afiliado: $2.61	Ahorro: $0.08
BROCHA DE ROSTRO ESSENCE HELLO HAPPINESS NARANJA	Para no afiliados: $6.19	 Para Afiliado: $6.00	Ahorro: $0.19
ESMALTE UÑAS ICONAILS CATRICE GEL LACQUER 10,5ML 58	Para no afiliados: $2.69	 Para Afiliado: $2.61	Ahorro: $0.08
PRIME AND FINE CATRICE ANTI-SHINE SPRAY 50ML	Para no afiliados: $7.49	 Para Afiliado: $7.27	Ahorro: $0.22
BROCHA DE LABIOS HELLO HAPPINESS! ESSENCE	Para no afiliados: $1.99	 Para Afiliado: $1.93	Ahorro: $0.06
SOMBRA CATRICE ART COULEURS EYESHADOW 2GR 170	Para no afiliados: $3.69	 Para Afiliado: $3.58	Ahorro: $0.11
LÁPIZ LABIOS CATRICE VELVET MATT COLOUR AND CONTOUR 1,3GR 020	Para no afiliados: $3.99	 Para Afiliado: $3.87	Ahorro: $0.12
LÁPIZ LABIOS CATRICE VELVET MATT COLOUR AND CONTOUR 1,3GR 030	Para no afiliados: $3.99	 Para Afiliado: $3.87	Ahorro: $0.12
BROCHA DE ROSTRO ESSENCE HELLO HAPPINESS MORADO 	Para no afiliados: $4.29	 Para Afiliado: $4.16	Ahorro: $0.13
ESPEJO CARTERA VARIOS 	Para no afiliados: $3.32	 Para Afiliado: $2.99	Ahorro: $0.33
LABIAL COLOUR UP SHINE ON 3.5 GR 06 ESSENCE	Para no afiliados: $3.79	 Para Afiliado: $3.68	Ahorro: $0.11
SOMBRA DE CEJAS MY MUST HAVES 1.8 GR 10 ESSENCE	Para no afiliados: $2.49	 Para Afiliado: $2.42	Ahorro: $0.07
ILUMINADOR GLOW TO GO 14 GR 10 ESSENCE	Para no afiliados: $6.99	 Para Afiliado: $6.78	Ahorro: $0.21
MASCARA DE PESTAÑAS CATRICE LASHES TO KILL PRO 12ML 010	Para no afiliados: $7.99	 Para Afiliado: $7.75	Ahorro: $0.24
SOMBRA DE CEJAS ESSENCE MY MUST HAVES 1.8GR 10	Para no afiliados: $2.49	 Para Afiliado: $2.49	Ahorro: $0.0
SOMBRA STIX 1 GR 090 CATRICE	Para no afiliados: $6.99	 Para Afiliado: $6.78	Ahorro: $0.21
SOMBRA DE CEJAS MY MUST HAVES 1.8 GR 20 ESSENCE	Para no afiliados: $2.49	 Para Afiliado: $2.42	Ahorro: $0.07
MASCARA DE PESTAÑAS VOLUME HERO 7 ML 01 ESSENCE	Para no afiliados: $4.79	 Para Afiliado: $4.65	Ahorro: $0.14
FLORMAR MAT VELVET MATIFYNG FOUNDATION V204  NATURAL BEIGE 35ML	Para no afiliados: $10.19	 Para Afiliado: $9.88	Ahorro: $0.31
FLORMAR STYLE MATIC EYELINER S02 NEW BLACK 0.35GR.	Para no afiliados: $9.79	 Para Afiliado: $9.50	Ahorro: $0.29
FLORMAR HD INVISIBLE COVER 60 IVORY 30ML	Para no afiliados: $11.99	 Para Afiliado: $11.63	Ahorro: $0.36
FLORMAR CONTOUR PALETTE 02 MEDIUM 10GR.	Para no afiliados: $16.29	 Para Afiliado: $15.80	Ahorro: $0.49
FLORMAR SILK MATTE LIQUID LIPSTICK 03 SUNSET 4.5ML	Para no afiliados: $6.49	 Para Afiliado: $6.30	Ahorro: $0.19
FLORMAR SILK MATTE LIQUID LIPSTICK 05 AUTUMN TIMBER 4.5ML	Para no afiliados: $6.49	 Para Afiliado: $6.30	Ahorro: $0.19
FLORMAR HD WEIGHTLESS  LIPSTICK MATTE 13 BORDEAUX 4G	Para no afiliados: $6.39	 Para Afiliado: $6.20	Ahorro: $0.19
FLORMAR MAT VELVET MATIFYNG FOUNDATION V209 GOLDEN BEIGE 35ML	Para no afiliados: $10.19	 Para Afiliado: $9.88	Ahorro: $0.31
FLORMAR COLOR PALETTE EYESHADOW 008 DANCE OF SEPIA 9GR.	Para no afiliados: $11.99	 Para Afiliado: $11.63	Ahorro: $0.36
FLORMAR MAT TOUCH FOUNDATION M305 GOLDEN HONEY 30ML	Para no afiliados: $16.49	 Para Afiliado: $16.00	Ahorro: $0.49
FLORMAR EYEBROW PENCIL 405 BITTER BROWN 1.14GR.	Para no afiliados: $3.69	 Para Afiliado: $3.58	Ahorro: $0.11
FLORMAR COLOR PALETTE EYESHADOW 006 PINK DESSERTS 9GR.	Para no afiliados: $11.99	 Para Afiliado: $11.63	Ahorro: $0.36
FLORMAR DELUXE CASHMERE LIPSTICK DC26 FESTIVE BURGUNDY MATTE 3GR.	Para no afiliados: $6.39	 Para Afiliado: $6.20	Ahorro: $0.19
FLORMAR TINTED EYEBROW MASCARA DEEP BRUNETTE 40 5.5ML	Para no afiliados: $5.59	 Para Afiliado: $5.42	Ahorro: $0.17
FLORMAR WET & DRY COMPACT POWDER W07 CARAMEL PEACH 10GR.	Para no afiliados: $10.19	 Para Afiliado: $9.88	Ahorro: $0.31
FLORMAR SILK MATTE LIQUID LIPSTICK 14 CARNATION RED 4.5ML	Para no afiliados: $6.49	 Para Afiliado: $6.30	Ahorro: $0.19
FLORMAR SILK MATTE LIQUID LIPSTICK 11 MISTY ROSY 4.5ML	Para no afiliados: $6.49	 Para Afiliado: $6.30	Ahorro: $0.19
FLORMAR EYELINER PEN 600 BLACK 1.0ML	Para no afiliados: $5.39	 Para Afiliado: $5.23	Ahorro: $0.16
FLORMAR MAT VELVET MATIFYNG FOUNDATION V213 MEDIUM BEIGE 35ML	Para no afiliados: $10.19	 Para Afiliado: $9.88	Ahorro: $0.31
FLORMAR PERFECT COVERAGE LIQUID CONCEALER 03 LIGHT BEIGE  5ML	Para no afiliados: $4.79	 Para Afiliado: $4.65	Ahorro: $0.14
FLORMAR EYEBROW PENCIL 402 BROWN 1.14GR.	Para no afiliados: $3.69	 Para Afiliado: $3.58	Ahorro: $0.11
FLORMAR COLOR PALETTE EYESHADOW 007 NUDE DUDES 9GR.	Para no afiliados: $11.99	 Para Afiliado: $11.63	Ahorro: $0.36
FLORMAR EYESHADOW PALETTE METALLIC 04 10G	Para no afiliados: $16.89	 Para Afiliado: $16.38	Ahorro: $0.51
FLORMAR DELUXE CASHMERE LIPSTICK DC28 ABSOLUTE NUDE MATTE 3GR.	Para no afiliados: $6.39	 Para Afiliado: $6.20	Ahorro: $0.19
FLORMAR HD WEIGHTLESS  LIPSTICK MATTE 08 RED VELVET 4G	Para no afiliados: $6.39	 Para Afiliado: $6.20	Ahorro: $0.19
FLORMAR HD WEIGHTLESS LIPSTICK MATTE 02 DRY ROSE 4G	Para no afiliados: $6.39	 Para Afiliado: $6.20	Ahorro: $0.19
RIZADOR DE PESTANAS BEAUTY100	Para no afiliados: $6.66	 Para Afiliado: $5.99	Ahorro: $0.67
ESPEJO DE MANO REDONDO BEAUTY100	Para no afiliados: $7.21	 Para Afiliado: $6.49	Ahorro: $0.72
BROCHA RETRACTIL BEAUTY100	Para no afiliados: $6.66	 Para Afiliado: $5.99	Ahorro: $0.67
RIZADOR PESTAÑAS BEAUTY100	Para no afiliados: $4.43	 Para Afiliado: $3.99	Ahorro: $0.44
SET DE BROCHAS 5 PIEZAS BEAUTY100	Para no afiliados: $8.88	 Para Afiliado: $7.99	Ahorro: $0.89
BROCHA POLVO MAQUILLAJE BEAUTY100	Para no afiliados: $5.54	 Para Afiliado: $4.99	Ahorro: $0.55
ESPONJA DE MAQUILLAJE BEAUTY BLENDER BEAUTY100	Para no afiliados: $5.54	 Para Afiliado: $4.99	Ahorro: $0.55
BROCHA PARA MAQUILLAJE LIQUIDO BEAUTY100	Para no afiliados: $7.21	 Para Afiliado: $6.49	Ahorro: $0.72
UMBRELLA LIPS CARDAMOMO SPF30 15G	Para no afiliados: $7.50	 Para Afiliado: $7.25	Ahorro: $0.25
UMBRELLA LIPS MARACUYA SPF30 15G	Para no afiliados: $7.50	 Para Afiliado: $7.25	Ahorro: $0.25
UMBRELLA LIPS MANGO BICHE SPF30 15G	Para no afiliados: $7.50	 Para Afiliado: $7.25	Ahorro: $0.25
LAPIZ DE LABIOS SOFT CONTOURING 1.4 GR 14 ESSENCE	Para no afiliados: $1.59	 Para Afiliado: $1.54	Ahorro: $0.05
MASCARA DE PESTAÑAS SUPER CURL VOLUME EYE OPENING 8 ML 01 ESSENCE	Para no afiliados: $4.79	 Para Afiliado: $4.65	Ahorro: $0.14
MASCARA DE PESTAÑAS  GET BIG LASHES VOLUME BOOST WATERPROOF 12 ML 01 ESSENCE	Para no afiliados: $3.99	 Para Afiliado: $3.87	Ahorro: $0.12
LAPIZ DE LABIOS DRAW THE LINE INSTANT COLOUR 0.25 GR 12 ESSENCE	Para no afiliados: $2.49	 Para Afiliado: $2.42	Ahorro: $0.07
KIT DE CEJAS STYLIST 2 GR 01 ESSENCE	Para no afiliados: $3.99	 Para Afiliado: $3.87	Ahorro: $0.12
PESTAÑAS POSTIZAS ARDELL DURALASH NATURAL COMBO NEGRO	Para no afiliados: $5.58	 Para Afiliado: $5.25	Ahorro: $0.33
PESTAÑAS POSTIZAS ARDELL SWEETIES BLACK	Para no afiliados: $5.58	 Para Afiliado: $5.25	Ahorro: $0.33
PESTANAS POSTIZAS ARDELL INDIVIB.NATURAL SEXIES BLACK	Para no afiliados: $5.58	 Para Afiliado: $5.25	Ahorro: $0.33
PESTAÑAS POSTIZAS ARDELL FASHION GLAMOUR LASH BLACK	Para no afiliados: $5.58	 Para Afiliado: $5.25	Ahorro: $0.33
PESTAÑAS ARDELL MEDIUM NEGRA X56	Para no afiliados: $5.58	 Para Afiliado: $5.02	Ahorro: $0.56
PERFILADORAS PARA CEJAS TRIM X3 06850	Para no afiliados: $5.05	 Para Afiliado: $4.77	Ahorro: $0.28
SACAPUNTAS TRIM TAMAÑO GRUESO & FINO	Para no afiliados: $5.40	 Para Afiliado: $5.10	Ahorro: $0.3
PINZA CEJAS TRIM EASYHOLD	Para no afiliados: $3.24	 Para Afiliado: $3.06	Ahorro: $0.18
PESTAÑAS POSTIZAS ARDELL INDIVIDUAL DURALASH SHORT BLACK	Para no afiliados: $5.58	 Para Afiliado: $5.25	Ahorro: $0.33
ADHESIVO INDIVIDUAL ARDELL	Para no afiliados: $4.70	 Para Afiliado: $4.42	Ahorro: $0.28
ADHESIVO CLARO ARDELL PARA PESTAÑAS POSTIZAS 7G	Para no afiliados: $4.70	 Para Afiliado: $4.21	Ahorro: $0.49
ADHESIVO OSCURO PARA PESTAÑAS POSTIZAS ARDELL 7 GR	Para no afiliados: $4.70	 Para Afiliado: $4.42	Ahorro: $0.28
REMOVEDOR DE PESTAÑAS POSTIZAS ARDELL LASHFREE 5ML.	Para no afiliados: $4.70	 Para Afiliado: $4.42	Ahorro: $0.28
ADHESIVO ARDELL PARA PESTAÑAS POSTIZAS COLOR NEGRO 	Para no afiliados: $6.54	 Para Afiliado: $5.85	Ahorro: $0.69
ESPONJAS REDONDAS CALA 	Para no afiliados: $2.12	 Para Afiliado: $2.00	Ahorro: $0.12
AFEITADORA DE CEJAS TRIM SPECIALTY CARE 	Para no afiliados: $4.46	 Para Afiliado: $4.21	Ahorro: $0.25
ESMALTES MASGLO MAGICA 13 ML	Para no afiliados: $2.69	 Para Afiliado: $2.50	Ahorro: $0.19
ESMALTES MASGLO BRILLO SECANTE 13 ML	Para no afiliados: $2.69	 Para Afiliado: $2.50	Ahorro: $0.19
ESMALTES MASGLO BRILLO EN 13 ML	Para no afiliados: $2.69	 Para Afiliado: $2.50	Ahorro: $0.19
ESMALTES MASGLO BLANCO TIZA 13.5 ML	Para no afiliados: $2.69	 Para Afiliado: $2.50	Ahorro: $0.19
ESMALTES MASGLO SANGRE TORO 13.5 ML	Para no afiliados: $2.69	 Para Afiliado: $2.50	Ahorro: $0.19
ESMALTES MASGLO FRANCES 13 ML.	Para no afiliados: $2.69	 Para Afiliado: $2.50	Ahorro: $0.19
ESMALTES MASGLO GOMELA 13 ML	Para no afiliados: $2.69	 Para Afiliado: $2.50	Ahorro: $0.19
ESMALTES MASGLO FIESTA 13 ML	Para no afiliados: $2.69	 Para Afiliado: $2.50	Ahorro: $0.19
BASE LIQUIDA SAMY Q10 ACTIVE LIGHT VAINILLA 	Para no afiliados: $17.91	 Para Afiliado: $17.37	Ahorro: $0.54
BASE LIQUIDA SAMY Q10 ACTIVE GOLD	Para no afiliados: $17.91	 Para Afiliado: $17.37	Ahorro: $0.54
BASE LIQUIDA SAMY Q10 SKIN MIRACLE DEEP HONEY	Para no afiliados: $17.91	 Para Afiliado: $17.37	Ahorro: $0.54
POLVO COMPACTO SAMY MINERAL COLOR NATURAL 14 GR	Para no afiliados: $16.37	 Para Afiliado: $15.88	Ahorro: $0.49
POLVO COMPACTO SAMY MINERAL COLOR CANELA 12 	Para no afiliados: $16.37	 Para Afiliado: $15.88	Ahorro: $0.49
RUBOR SAMY DUAL PERFECT TOUCH PINK	Para no afiliados: $16.03	 Para Afiliado: $15.55	Ahorro: $0.48
RUBOR SAMY DUAL PERFECT TOUCH ORANGE	Para no afiliados: $16.03	 Para Afiliado: $15.55	Ahorro: $0.48
SAMY - RUBOR DUAL PERFECT TOUCH FUCSIA.	Para no afiliados: $16.03	 Para Afiliado: $15.55	Ahorro: $0.48
RUBOR SAMY PERFECT TOUCH COLOR SALMÓN 4 GR	Para no afiliados: $10.52	 Para Afiliado: $10.20	Ahorro: $0.32
RUBOR SAMY PERFECT TOUCH COLOR ROSA 4 GR.	Para no afiliados: $10.52	 Para Afiliado: $10.20	Ahorro: $0.32
CALA - SET BRUSH X 5 	Para no afiliados: $12.27	 Para Afiliado: $11.60	Ahorro: $0.67
DELINEADOR OJOS ETRE BELLE WATERPROOF EYELINER PENCIL	Para no afiliados: $23.65	 Para Afiliado: $22.94	Ahorro: $0.71
RUBOR SAMY PERFECT TOUCH FUCSIA 4 GR	Para no afiliados: $10.52	 Para Afiliado: $10.20	Ahorro: $0.32
MASCARA SAMY 3D WATERPROOF COLOR AZUL 10 GR	Para no afiliados: $13.21	 Para Afiliado: $12.81	Ahorro: $0.4
MASCARA SAMY 3D EYELASH EFFECT COLOR CAFÉ.	Para no afiliados: $13.21	 Para Afiliado: $12.81	Ahorro: $0.4
MASCARA SAMY 3D TRANSPARENTE	Para no afiliados: $13.21	 Para Afiliado: $12.81	Ahorro: $0.4
DELINEADOR LIQUIDO SAMY COLOR CAFÉ MATE	Para no afiliados: $8.96	 Para Afiliado: $8.69	Ahorro: $0.27
LAPIZ DELINEADOR DE OJOS SAMY NEGRO 6	Para no afiliados: $6.08	 Para Afiliado: $5.90	Ahorro: $0.18
LAPIZ DELINEADOR DE OJOS SAMY VERBENA 12	Para no afiliados: $6.08	 Para Afiliado: $5.90	Ahorro: $0.18
LAPIZ DELINEADOR DE OJOS SAMY LÁPIZ DELINEADOR 9 PLATA	Para no afiliados: $6.08	 Para Afiliado: $5.90	Ahorro: $0.18
SOMBRAS SAMY IND BLANCO INTENS/INTENSE WHITE	Para no afiliados: $6.74	 Para Afiliado: $6.54	Ahorro: $0.2
SOMBRAS SAMY IND BEIGE PERLADO/PEARLY BEIGE	Para no afiliados: $6.74	 Para Afiliado: $6.54	Ahorro: $0.2
SOMBRAS SAMY IND BEIGE MATE/MATTE BEIGE	Para no afiliados: $6.74	 Para Afiliado: $6.54	Ahorro: $0.2
SOMBRAS SAMY IND DORADO PERLADO/SHIMMERING GOLD	Para no afiliados: $6.74	 Para Afiliado: $6.54	Ahorro: $0.2
SOMBRAS SAMY IND VERDE NEÓN/LIME GREEN	Para no afiliados: $6.74	 Para Afiliado: $6.54	Ahorro: $0.2
SOMBRAS SAMY IND VINOTINTO/RED WINE	Para no afiliados: $6.74	 Para Afiliado: $6.54	Ahorro: $0.2
SOMBRAS SAMY IND BRONCE/BRONZE	Para no afiliados: $6.74	 Para Afiliado: $6.54	Ahorro: $0.2
SOMBRAS SAMY IND ROSA SUAVE/TENDER ROSE	Para no afiliados: $6.74	 Para Afiliado: $6.54	Ahorro: $0.2
SOMBRAS SAMY IND FUCSIA/FUCHSIA	Para no afiliados: $6.74	 Para Afiliado: $6.54	Ahorro: $0.2
SOMBRAS SAMY IND MORADO INTENSO/INTENSE PURPLE	Para no afiliados: $6.74	 Para Afiliado: $6.54	Ahorro: $0.2
SOMBRAS SAMY IND AZUL PROFUNDO/DEEP BLUE	Para no afiliados: $6.74	 Para Afiliado: $6.54	Ahorro: $0.2
SOMBRAS SAMY NOCHE OSCURA/DARK NIGHT	Para no afiliados: $8.32	 Para Afiliado: $8.07	Ahorro: $0.25
SOMBRAS SAMY FLOR DE CEREZO/CHERRY BLOSSOM	Para no afiliados: $8.32	 Para Afiliado: $8.07	Ahorro: $0.25
SOMBRAS SAMY VIENTO DEL DESIERTO/DESERT WIND	Para no afiliados: $8.32	 Para Afiliado: $8.07	Ahorro: $0.25
PALLADIO BASE LIQUIDA IN THE BUFF PFS07 20ML	Para no afiliados: $17.90	 Para Afiliado: $17.36	Ahorro: $0.54
BASE LIQUIDA PALLADIO HERBAL FOUNDATION PRIMER.	Para no afiliados: $23.00	 Para Afiliado: $22.31	Ahorro: $0.69
BLUSH PALLADIO MOSAICO DESERT ROSE	Para no afiliados: $18.71	 Para Afiliado: $18.15	Ahorro: $0.56
RUBOR PALLADIO BLUSH HERBAL SPICE 	Para no afiliados: $18.71	 Para Afiliado: $18.15	Ahorro: $0.56
DELINEADOR PALLADIO RETRACT WATER BLACK- BROWN	Para no afiliados: $10.90	 Para Afiliado: $10.57	Ahorro: $0.33
PESTAÑAS POSTIZAS ARDELL STARTER KIT 	Para no afiliados: $18.14	 Para Afiliado: $17.05	Ahorro: $1.09
MASCARAS ALMAY GET UP AND GROW BLACK	Para no afiliados: $14.35	 Para Afiliado: $13.92	Ahorro: $0.43
RIZADOR DE PESTAÑAS TRIM EASY HOLD 13553	Para no afiliados: $8.84	 Para Afiliado: $8.57	Ahorro: $0.27
ESPONJA POLVO FACIAL FREESTYLE	Para no afiliados: $1.71	 Para Afiliado: $1.62	Ahorro: $0.09
SET APLICADOR DE SOMBRA FREESTYLE 	Para no afiliados: $2.17	 Para Afiliado: $2.05	Ahorro: $0.12
SET BROCHAS FREESTYLE 	Para no afiliados: $4.46	 Para Afiliado: $4.21	Ahorro: $0.25
SOMBRA PIGMENTO SAMY SOMBRA PIGMENTO 2 BLANCO	Para no afiliados: $4.69	 Para Afiliado: $4.55	Ahorro: $0.14
SOMBRA PIGMENTO SAMY SOMBRA PIGMENTO 6 ROSADO	Para no afiliados: $4.69	 Para Afiliado: $4.55	Ahorro: $0.14
SOMBRA PIGMENTO SAMY SOMBRA PIGMENTO 1 NEGRO	Para no afiliados: $4.69	 Para Afiliado: $4.55	Ahorro: $0.14
SOMBRA PIGMENTO SAMY SOMBRA PIGMENTO 7 MORADO	Para no afiliados: $4.69	 Para Afiliado: $4.55	Ahorro: $0.14
ILUMINADOR DE OJOS SAMY BLANCO	Para no afiliados: $6.99	 Para Afiliado: $6.78	Ahorro: $0.21
ILUMINADOR DE OJOS SAMY BEIGE	Para no afiliados: $6.99	 Para Afiliado: $6.78	Ahorro: $0.21
LAPIZ DELINEADOR SAMY COLOR CABERNET	Para no afiliados: $6.08	 Para Afiliado: $5.90	Ahorro: $0.18
LAPIZ DELINEADOR SAMY KOLOR FACTORY FUCSIA	Para no afiliados: $6.08	 Para Afiliado: $5.90	Ahorro: $0.18
LAPIZ DELINEADOR SAMY COLOR TERRACOTA	Para no afiliados: $6.08	 Para Afiliado: $5.90	Ahorro: $0.18
SAMY - LABIAL MÁXIMA DURACIÓN 13	Para no afiliados: $9.97	 Para Afiliado: $9.67	Ahorro: $0.3
LABIAL SAMY COLOR N 13	Para no afiliados: $6.08	 Para Afiliado: $5.90	Ahorro: $0.18
LABIAL SAMY COLOR ROJO	Para no afiliados: $6.08	 Para Afiliado: $5.90	Ahorro: $0.18
SAMY - LABIAL 76	Para no afiliados: $6.08	 Para Afiliado: $5.90	Ahorro: $0.18
SAMY - LABIAL 187	Para no afiliados: $6.08	 Para Afiliado: $5.90	Ahorro: $0.18
SAMY - LABIAL 249	Para no afiliados: $6.08	 Para Afiliado: $5.90	Ahorro: $0.18
PINTA LABIOS ETRE BELLE PERFECT MAT LIPSTICK NO 01	Para no afiliados: $18.39	 Para Afiliado: $17.84	Ahorro: $0.55
BASE LÍQUIDA MAYBELLINE SUPER STAY  30 ML.	Para no afiliados: $27.95	 Para Afiliado: $27.11	Ahorro: $0.84
DELINEADOR PALLADIO RETRACT WATER BLACK	Para no afiliados: $10.90	 Para Afiliado: $10.57	Ahorro: $0.33
SACAPUNTAS PALLADIO PSH1 SHARPENER	Para no afiliados: $5.50	 Para Afiliado: $5.34	Ahorro: $0.16
BROCHA PARA MAQUILLAJE ECOTOOLS PLANA PARA BASE	Para no afiliados: $8.17	 Para Afiliado: $7.72	Ahorro: $0.45
ESMALTE NAIL POLISH SHADE 6	Para no afiliados: $3.00	 Para Afiliado: $2.85	Ahorro: $0.15
SOMBRAS SAMY SOMBRA TRIO 12 NOCHE GALACTICA	Para no afiliados: $8.32	 Para Afiliado: $8.07	Ahorro: $0.25
ESMALTES MASGLO ACCESORIO VELVET VERDE	Para no afiliados: $3.72	 Para Afiliado: $3.61	Ahorro: $0.11
ESPEJOS COQUETAS ZBH-R21039 ESPEJO NOCHE	Para no afiliados: $5.13	 Para Afiliado: $4.77	Ahorro: $0.36
CEPILLO FACIAL FREESTYLE PEQUEÑO 	Para no afiliados: $2.17	 Para Afiliado: $2.05	Ahorro: $0.12
POMO FACIAL FREESTYLE 	Para no afiliados: $1.50	 Para Afiliado: $1.42	Ahorro: $0.08
BROCHA PARA RUBOR FREESTYLE GRANDE	Para no afiliados: $4.35	 Para Afiliado: $4.11	Ahorro: $0.24
LIP GLOSS LOREAL  6H POSY	Para no afiliados: $16.00	 Para Afiliado: $15.52	Ahorro: $0.48
LABIAL SAMY HUMECTANTE COLOR N77	Para no afiliados: $6.08	 Para Afiliado: $5.90	Ahorro: $0.18
SOMBRA PARA OJOS SAMY MINERAL BLANCO PERLADO	Para no afiliados: $6.74	 Para Afiliado: $6.54	Ahorro: $0.2
BRILLO LABIAL MAYBELLINE BABY LIPS QUENCHED 4.4 GR	Para no afiliados: $5.10	 Para Afiliado: $4.95	Ahorro: $0.15
BRILLO LABIAL MAYBELLINE BABY LIPS PEPPERMINT 4.4 GR	Para no afiliados: $5.10	 Para Afiliado: $4.95	Ahorro: $0.15
DELINEADOR EN GEL MAYBELLINE LASTING DRAMA 3 GR	Para no afiliados: $15.16	 Para Afiliado: $14.71	Ahorro: $0.45
ESMALTE UÑAS ICONAILS CATRICE GEL LACQUER 10,5ML 48	Para no afiliados: $2.69	 Para Afiliado: $2.61	Ahorro: $0.08
ESMALTE UÑAS CATRICE 2 IN 1 BASE AND TOP COAT 10,5ML	Para no afiliados: $3.29	 Para Afiliado: $3.19	Ahorro: $0.1
LÁPIZ LABIOS CATRICE VELVET MATT COLOUR AND CONTOUR 1,3GR 040	Para no afiliados: $3.99	 Para Afiliado: $3.87	Ahorro: $0.12
LAPIZ LABIOS CATRICE VELVET MATT COLOUR AND CONTOUR 1,3GR 070	Para no afiliados: $3.99	 Para Afiliado: $3.87	Ahorro: $0.12
ESPONJA DE MAQUILLAJE HELLO HAPPINESS! ESSENCE	Para no afiliados: $3.49	 Para Afiliado: $3.39	Ahorro: $0.1
LAPIZ LABIOS CATRICE LIP FOUNDATION 1,3GR 050	Para no afiliados: $3.99	 Para Afiliado: $3.87	Ahorro: $0.12
SOMBRA CATRICE ART COULEURS EYESHADOW 2GR 180	Para no afiliados: $3.69	 Para Afiliado: $3.58	Ahorro: $0.11
ESMALTE UÑAS CATRICE SUPER DRY GLOSS TOP COAT 10,5ML	Para no afiliados: $3.69	 Para Afiliado: $3.58	Ahorro: $0.11
BROCHA DE ROSTRO HELLO HAPPINESS! ESSENCE	Para no afiliados: $4.29	 Para Afiliado: $4.16	Ahorro: $0.13
LÁPIZ LABIOS CATRICE VELVET MATT COLOUR AND CONTOUR 1,3GR 080	Para no afiliados: $3.99	 Para Afiliado: $3.87	Ahorro: $0.12
SET MARKWINS MEGA FACE PALETTE 36 PC	Para no afiliados: $18.99	 Para Afiliado: $18.61	Ahorro: $0.38
BALSAMO CATRICE LIP TREATMENT 7GR 010 	Para no afiliados: $6.49	 Para Afiliado: $6.30	Ahorro: $0.19
SET CON 4 BROCHAS REAL TECHNIQUES	Para no afiliados: $27.29	 Para Afiliado: $27.29	Ahorro: $0.0
PACK 4 BROCHAS ECOTOOLS CON BOLSA DE VIAJE	Para no afiliados: $20.88	 Para Afiliado: $20.88	Ahorro: $0.0
SET BROCHAS REAL TECHNIQUES SHINE BRIGHT	Para no afiliados: $21.24	 Para Afiliado: $21.24	Ahorro: $0.0
PACK 4 BROCHAS ECOTOOLS	Para no afiliados: $25.86	 Para Afiliado: $25.86	Ahorro: $0.0
ESPEJO CARTERA VARIOS 	Para no afiliados: $3.32	 Para Afiliado: $2.99	Ahorro: $0.33
PINZA DE CEJAS TRIM CON MANGO DE TIJERA 	Para no afiliados: $7.21	 Para Afiliado: $6.99	Ahorro: $0.22
PINZA DE CEJAS TRIM PUNTA ANGULAR	Para no afiliados: $2.98	 Para Afiliado: $2.89	Ahorro: $0.09
ESPONJA LIMPIEZA FREESTYLE	Para no afiliados: $1.94	 Para Afiliado: $1.83	Ahorro: $0.11
SET APLICADORES DE SOMBRAS FREESTYLE	Para no afiliados: $2.06	 Para Afiliado: $1.95	Ahorro: $0.11
RIZADOR DE PESTAÑAS FREESTYLE DE PLASTICO	Para no afiliados: $2.40	 Para Afiliado: $2.33	Ahorro: $0.07
DELINEADOR OJOS ETRE BELLE LAPIZ PERMANENT # 01	Para no afiliados: $24.26	 Para Afiliado: $23.53	Ahorro: $0.73
RIZADOR DE PESTAÑAS  FREESTYLE	Para no afiliados: $3.32	 Para Afiliado: $3.22	Ahorro: $0.1
PERFILADOR DE CEJAS FREESTYLE 	Para no afiliados: $4.50	 Para Afiliado: $4.37	Ahorro: $0.13
PINZA PARA DEPILAR FREESTYLE 	Para no afiliados: $2.51	 Para Afiliado: $2.43	Ahorro: $0.08
ESPONJA FREESTYLE CUADRADA 	Para no afiliados: $1.82	 Para Afiliado: $1.72	Ahorro: $0.1
SACAPUNTAS FREESTYLE DOBLE	Para no afiliados: $1.38	 Para Afiliado: $1.30	Ahorro: $0.08
